,EventName,RoundNumber,eventYear,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,StintLen,CircuitLength,designedLaps
121,Abu Dhabi Grand Prix,21,2019,SOFT,GIO,1.0,98.114,Qualifying,26.412499999999998,30.4375,61.3125,0.0,16.0,16.0,1.0,1.0,8.0,5.554,55
122,Abu Dhabi Grand Prix,21,2019,SOFT,HUL,1.0,96.71,Qualifying,26.233333333333334,30.188888888888894,62.82222222222222,0.0,9.0,12.0,1.0,4.0,18.0,5.554,55
123,Abu Dhabi Grand Prix,21,2019,SOFT,LEC,3.0,95.219,Qualifying,25.158823529411762,27.564705882352943,70.45882352941176,0.0,3.0,3.0,3.0,1.0,17.0,5.554,55
124,Abu Dhabi Grand Prix,21,2019,SOFT,NOR,1.0,96.436,Qualifying,26.424999999999997,30.4375,61.287499999999994,0.0,6.0,8.0,1.0,4.0,8.0,5.554,55
125,Abu Dhabi Grand Prix,21,2019,SOFT,RIC,1.0,96.456,Qualifying,26.336363636363636,30.34545454545454,61.69090909090908,0.0,7.0,11.0,1.0,4.0,11.0,5.554,55
126,Abu Dhabi Grand Prix,21,2019,SOFT,RIC,3.0,96.456,Qualifying,25.075,27.483333333333334,70.96666666666667,0.0,7.0,11.0,3.0,4.0,12.0,5.554,55
127,Abu Dhabi Grand Prix,21,2019,SOFT,SAI,1.0,96.308,Qualifying,26.316666666666666,30.316666666666663,61.883333333333326,0.0,8.0,10.0,1.0,4.0,12.0,5.554,55
128,Abu Dhabi Grand Prix,21,2019,SOFT,STR,3.0,97.103,Qualifying,25.504545454545454,28.090909090909097,67.63181818181818,0.0,12.0,20.0,3.0,1.0,22.0,5.554,55
129,Abu Dhabi Grand Prix,21,2019,SOFT,VET,1.0,95.339,Qualifying,26.325000000000003,30.349999999999998,61.9,0.0,4.0,5.0,1.0,4.0,12.0,5.554,55
130,Abu Dhabi Grand Prix,22,2021,HARD,ALO,1.0,83.46,Qualifying,24.400000000000002,27.700000000000003,59.80277777777778,0.0,11.0,8.0,1.0,2.0,36.0,5.554,55
131,Abu Dhabi Grand Prix,22,2021,HARD,BOT,2.0,83.036,Qualifying,23.857142857142865,26.360714285714288,64.0,0.0,6.0,6.0,2.0,2.0,28.0,5.554,55
132,Abu Dhabi Grand Prix,22,2021,HARD,GAS,1.0,83.489,Qualifying,24.400000000000002,27.700000000000003,59.80277777777778,0.0,12.0,5.0,1.0,1.0,36.0,5.554,55
133,Abu Dhabi Grand Prix,22,2021,HARD,GIO,2.0,84.118,Qualifying,24.29375,27.4,60.80625,0.0,14.0,17.0,2.0,1.0,16.0,5.554,55
134,Abu Dhabi Grand Prix,22,2021,HARD,HAM,2.0,82.48,Qualifying,24.038636363636364,26.793181818181814,62.61818181818182,0.0,2.0,2.0,2.0,2.0,44.0,5.554,55
135,Abu Dhabi Grand Prix,22,2021,HARD,LAT,2.0,84.338,Qualifying,23.927272727272733,26.577272727272735,63.63181818181818,0.0,16.0,16.0,2.0,1.0,22.0,5.554,55
